#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
# Updated 2025 Apr  7 2348:35																											
S00168	1961 TAU 1	Vostok-2	1961 Aug  6	1961 Aug  7	1961 Aug  7	1961 Aug  7 0715	-	Vostok3A	-	-	D	C	SS	S	-	BIO	SU	A/AC.105/INF.002	-	178	257	64.9	1961 Aug  6	153	238	64.84	"Life sci, radiationSW"
S00170	1961 UPS	Explorer 12	1961 Aug 16	1961 Dec  6	1961 Dec  6	1961 Dec  6	-	Explorer EPE	-	-	-	C	SCI	S	-	P/F*	US	A/AC.105/INF.001	-	-	-	-	1961 Sep 20	457	77170	33.43	Magnetosphere
S00173	1961 PHI 1	[Ranger I]	1961 Aug 23	1961 Aug 27	1961 Aug 27	1961 Aug 27	-	Ranger I	-	-	-	C	PLAN	F	-	P	[US]	-	-	-	-	-	1994 Dec 30	980	992	69.99	Radiation experiment
S00180	1961 CHI	[Explorer XIII]	1961 Aug 25	1961 Aug 28	1961 Aug 28	1961 Aug 28	-	Explorer MME	-	-	-	C	SCI	S	-	MM*	[US]	-	-	-	-	-	-	0	0	0.00	Micrometeors
S00181	1961 PSI	[Discoverer XXIX]	1961 Aug 30	1961 Sep  1	1961 Sep  1	1961 Sep  1	-	CORONA Early	-	-	-	D	IMG	S	-	XRA/AUR/P/RFA	[US]	-	-	-	-	-	-	0	0	0.00	"Vela X-ray burst, HSRP"
S00182	1961 OME 1	[Discoverer XXX]	1961 Sep 12	1961 Sep 14	1961 Sep 14	1961 Sep 14	-	CORONA Early	-	-	-	D	IMG	S	-	BIO/P	[US]	-	-	-	-	-	-	0	0	0.00	"Bio samples, cos.ray emulsion"
S00183	1961 A ALP 1	[Mercury-Atlas IV]	1961 Sep 13	1961 Sep 13	1961 Sep 13	1961 Sep 13 1553	-	Mercury MA	-	-	D	C	SS	S	-	-	[US]	-	-	-	-	-	1961 Sep 13	149	240	32.54	-
S00186	1961 A BET	[Discoverer 31]	1961 Sep 17	1961 Sep 19	1961 Sep 19	1961 Sep 19	-	CORONA Early	-	-	-	D	IMG	S	-	XRA/AUR/P/RFA	[US]	-	-	-	-	-	-	0	0	0.00	"Vela X-ray burst, HSRP"
S00189	1961 A GAM 1	[Discoverer 32]	1961 Oct 13	1961 Nov 13	1961 Nov 13	1961 Nov 13	-	CORONA Early	-	-	-	D	IMG	S	-	P/ION	[US]	-	-	-	-	-	-	0	0	0.00	Ionosphere
S00192	1961 A DEL 1	[Midas IV]	1961 Oct 21	1961 Oct 31	1961 Oct 31	1961 Oct 31	-	Midas ETS-II	-	-	-	D	EW	S	-	-	US	A/AC.105/INF.001	166.0	3503	3746	95.9	-	0	0	0.00	-
S00194	1961 A DEL 3	Westford	1961 Oct 21	1961 Oct 21	1961 Oct 21	1961 Oct 21	-	Westford	-	-	-	D	COM	S	-	-	-	-	-	-	-	-	1961 Dec 14	3503	3715	95.90	-
S00197	1961 A EPS 1	[Discoverer 34]	1961 Nov  5	1961 Nov 10?	1961 Nov 10?	1961 Nov 10?	-	CORONA Early	-	-	-	D	IMG	S	-	P/XRA	US	A/AC.105/INF.001	96.2	226	919	82.5	-	0	0	0.00	Vela X-ray burst search
S00201	1961 A ZET 1	[Discoverer 35]	1961 Nov 15	1961 Nov 17	1961 Nov 17	1961 Nov 17	-	CORONA Early	-	-	-	D	IMG	S	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00202	1961 A ETA 1	[Transit IVB]	1961 Nov 15	1962 Aug  2	1962 Aug  2	1962 Aug  2	-	Transit	-	-	-	D	NAV	S	-	-	US	A/AC.105/INF.001	105.6	953	1108	32.4	1961 Nov 19	936	1126	32.42	-
S00205	1961 A ETA 2	[TRAAC]	1961 Nov 15	1962 Aug 14	1962 Aug 14	1962 Aug 14	-	Transit	-	-	-	D	TECH	S	-	P	US	A/AC.105/INF.001	105.6	947	1116	32.4	1961 Nov 22	934	1129	32.43	Radiation dose
S00206	1961 A THE	[Ranger II]	1961 Nov 18	1961 Nov 19	1961 Nov 19	1961 Nov 19	-	Ranger I	-	-	-	C	PLAN	F	-	P	[US]	-	-	-	-	-	1961 Nov 19	149	169	33.34	Radiation belts
S00208	1961 A IOT 1	[Mercury-Atlas V]	1961 Nov 29	1961 Nov 29	1961 Nov 29	1961 Nov 29 1829	-	Mercury MA	-	-	D	C	SS	S	-	BIO	[US]	-	-	-	-	-	1961 Nov 29	-195	175	32.63	Chimpanzee 'Enos'
S00213	1961 A KAP 1	[Discoverer XXXVI]	1961 Dec 12	1961 Dec 16	1961 Dec 16	1961 Dec 16	-	CORONA Early	-	-	-	D	IMG	S	-	ION/BIO/P/XRA	US	A/AC.105/INF.001	90.8	217	405	81.2	-	0	0	0.00	Vela X-ray burst search
S00214	1961 A KAP 2	[Oscar]	1961 Dec 12	1961 Dec 30	1961 Dec 30	1961 Dec 30	-	OSCAR	-	-	-	A	COM	S	-	-	US	A/AC.105/INF.001	88.2	180	181	81.1	1961 Dec 15	235	479	81.21	-
S00218	1961 A LAM 2	S.T. LOW	1961 Dec 22	1961 Dec 23?	1961 Dec 23?	1961 Dec 23?	-	AFTRACK	-	-	-	D	SIG	S	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00219	1961 A LAM 3	-	1961 Dec 22	1961 Dec 23	1961 Dec 23	1961 Dec 23	-	SAMOS E-5	-	-	D	D	IMG	U	-	-	US	A/AC.105/INF.003	94.5	234	751	94.5	1961 Dec 25	187	310	89.61	-
S00221	1962 ALP 1	[Ranger III]	1962 Jan 26	1962 Feb  2	1962 Feb  2	1962 Feb  2	-	Ranger II	-	-	-	C	PLAN	S	-	PL/GRA	US	A/AC.105/INF.001	-	-	-	-	-	0	0	0.00	Gamma-ray spectrometer
S00226	1962 BET 1	[Tiros IV]	1962 Feb  8	1962 Jul 19	1962 Jul 19	1962 Jul 19	-	Tiros A	-	-	-	C	MET	S	-	-	US	A/AC.105/INF.001	100.3	711	838	48.3	1962 Feb 10	711	840	48.25	-
S00240	1962 GAM 1	[Mercury-Atlas VI]	1962 Feb 20	1962 Feb 20	1962 Feb 20	1962 Feb 20 1943	-	Mercury MA	-	-	D	C	SS	S	-	ATM	US	A/AC.105/INF.003	83.5	161	261	32.5	1962 Feb 20	-183	157	32.54	UV spectrograph
S00242	1962 DEL	FTV 2301	1962 Feb 21	1962 Feb 27	1962 Feb 27	1962 Feb 27	-	SAMOS F-1	-	-	-	D	SIG	F	-	-	US	A/AC.105/INF.003	-	-	-	-	-	0	0	0.00	-
S00247	1962 EPS 1	[DiscovererXXXVIII]	1962 Feb 27	1962 Mar  3	1962 Mar  3	1962 Mar  3	-	CORONA M	-	-	-	D	IMG	S	-	AUR/P	US	A/AC.105/INF.003	90.4	334	609	82.2	-	0	0	0.00	Auroral particles
S00255	1962 ZET 1	[OSO I]	1962 Mar  7	1963 Aug  3	1963 Aug  3	1963 Aug  3	-	OSO	-	-	-	C	AST	S	-	SOL/GRA*	US	A/AC.105/INF.003	95.8	557	577	32.9	1962 Mar 27	558	582	32.84	"Solar physics, gamma rays"
S00256	1962 ETA 1	-	1962 Mar  7	1962 Mar  9	1962 Mar  9	1962 Mar  9	-	SAMOS E-5	-	-	D	D	IMG	U	-	-	US	A/AC.105/INF.003	93.9	236	688	90.9	1962 Mar 12	235	689	90.93	-
S00259	1962 ETA 3	S.T. LOW	1962 Mar  7	1962 Mar  9?	1962 Mar  9?	1962 Mar  9?	-	AFTRACK	-	-	-	D	SIG	S	-	-	[US]	-	-	-	-	-	-	0	0	0.00	-
S00266	1962 THE 1	Sputnik	1962 Mar 16	1962 Apr?	1962 Apr?	1962 Apr?	-	DS Early	-	-	-	C	SCI	S	-	ION/P*	SU	A/AC.105/INF.002	-	217	980	49.0	1962 Mar 19	205	944	48.93	Ionosphere sounder
S00269	1962 IOT 1	"Sputnik ""Cosmos-2"""	1962 Apr  6	1962 Apr 17	1962 Apr 17	1962 Apr 17	-	MS	-	-	-	D	TECH	S	-	ION/P*	SU	A/AC.105/INF.004	-	212	1546	49.0	1962 Apr 10	207	1519	48.98	Ionosphere sounder
S00271	1962 KAP 1	-	1962 Apr  9	1962 Apr 10	1962 Apr 10	1962 Apr 10	-	Midas ETS-II	-	-	-	D	EW	U	-	-	US	A/AC.105/INF.005	153.0	2786	3405	86.7	-	0	0	0.00	-
S00276	1962 LAM 1	-	1962 Apr 18	1962 Apr 22	1962 Apr 22	1962 Apr 22	-	CORONA M	-	-	-	D	IMG	S	-	P	US	A/AC.105/INF.007	91.5	158	535	73.5	-	0	0	0.00	Particles
S00280	1962 MU 1	[Ranger IV]	1962 Apr 23	1962 Apr 26	1962 Apr 26	1962 Apr 26	-	Ranger II	-	-	-	C	PLAN	F	-	PL	US	A/AC.105/INF.007	-	-	-	-	1962 Apr 23	209	899473	29.00	Lunar probe
S00281	1962 NU 1	"Sputnik ""Cosmos-3"""	1962 Apr 24	1962 Jul?	1962 Jul?	1962 Jul?	-	MS	-	-	-	D	TECH	S	-	P*	SU	A/AC.105/INF.006	-	229	720	49.0	1962 Apr 26	224	701	48.95	Radiation belts
S00285	1962 OMI 1	[Ariel]	1962 Apr 26	1964 Nov  9	1964 Nov  9	1964 Nov  9	-	UK	-	-	-	C	SCI	S	-	P/SX*	US*	A/AC.105/INF.007	100.9	389	1217	53.9	1962 May  8	404	1197	53.86	"Solar LyA/X-rays, ionos."
S00286	1962 PI	-	1962 Apr 26	1962 Apr 28	1962 Apr 28	1962 Apr 28	-	SAMOS E-6	-	-	D	D	IMG	U	-	-	US	A/AC.105/INF.007	-	-	-	-	1962 Apr 28	209	219	92.00	-
